# BRON: KONINKLIJK NEDERLANDS METEOROLOGISCH INSTITUUT (KNMI)
# Opmerking: door stationsverplaatsingen en veranderingen in waarneemmethodieken zijn deze tijdreeksen van dagwaarden mogelijk inhomogeen! Dat betekent dat deze reeks van gemeten waarden niet geschikt is voor trendanalyse. Voor studies naar klimaatverandering verwijzen we naar de gehomogeniseerde reeks maandtemperaturen van De Bilt <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/gehomogeniseerde-reeks-maandtemperaturen-de-bilt> of de Centraal Nederland Temperatuur <http://www.knmi.nl/kennis-en-datacentrum/achtergrond/centraal-nederland-temperatuur-cnt>.
#
#
# STN      LON(east)   LAT(north)     ALT(m)  NAME
# 240:         4.790       52.318      -3.30  SCHIPHOL
#
# YYYYMMDD = Datum (YYYY=jaar MM=maand DD=dag);
# FXX      = Hoogste windstoot (in 0.1 m/s);
#
# STN,YYYYMMDD,  FXX
#
  240,20110506,   90
  240,20110507,  110
  240,20110508,  100
  240,20110509,   80
  240,20110510,   70
  240,20110511,   90
  240,20110512,  120
  240,20110513,  110
  240,20110514,  130
  240,20110515,  120
  240,20110516,  140
  240,20110517,  100
  240,20110518,  120
  240,20110519,  120
  240,20110520,  110
  240,20110521,   70
  240,20110522,  180
  240,20110523,  150
  240,20110524,  140
  240,20110525,  100
  240,20110526,  210
  240,20110527,  130
  240,20110528,  160
  240,20110529,  180
  240,20110530,  120
  240,20110531,  100
  240,20110601,   90
  240,20110602,  110
  240,20110603,  150
  240,20110604,  150
  240,20110605,  120
  240,20110606,   80
  240,20110607,   80
  240,20110608,  130
  240,20110609,  120
  240,20110610,   90
  240,20110611,  120
  240,20110612,  100
  240,20110613,  140
  240,20110614,   80
  240,20110615,  110
  240,20110616,  140
  240,20110617,  130
  240,20110618,  180
  240,20110619,  150
  240,20110620,  100
  240,20110621,  160
  240,20110622,  160
  240,20110623,  130
  240,20110624,  130
  240,20110625,  100
  240,20110626,   80
  240,20110627,  100
  240,20110628,  150
  240,20110629,  110
  240,20110630,  120
  240,20110701,  120
  240,20110702,  110
  240,20110703,  110
  240,20110704,   80
  240,20110705,   70
  240,20110706,  140
  240,20110707,  130
  240,20110708,  140
  240,20110709,  130
  240,20110710,   90
  240,20110711,   70
  240,20110712,  160
  240,20110713,  140
  240,20110714,  210
  240,20110715,  140
  240,20110716,  150
  240,20110717,  170
  240,20110718,  160
  240,20110719,   90
  240,20110720,  100
  240,20110721,  110
  240,20110722,  130
  240,20110723,  170
  240,20110724,  170
  240,20110725,   90
  240,20110726,   80
  240,20110727,   80
  240,20110728,  120
  240,20110729,  100
  240,20110730,   80
  240,20110731,   80
  240,20110801,   80
  240,20110802,   80
  240,20110803,   80
  240,20110804,  100
  240,20110805,  100
  240,20110806,  150
  240,20110807,  170
  240,20110808,  170
  240,20110809,  160
  240,20110810,  170
  240,20110811,  160
  240,20110812,   80
  240,20110813,   80
  240,20110814,  100
  240,20110815,   90
  240,20110816,  130
